id,seller_id,name,description,price,stock,category,image_url,created_at
11,46,Olives - Nicoise,Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus.,14.56,20,Prefabricated Aluminum Metal Canopies,http://dummyimage.com/119x100.png/dddddd/000000,2/27/2025
12,19,Oil - Macadamia,"Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem.",53.03,1,Wall Protection,http://dummyimage.com/235x100.png/dddddd/000000,7/30/2024
13,12,Lamb Rack Frenched Australian,Sed ante. Vivamus tortor. Duis mattis egestas metus.,47.13,69,Site Furnishings,http://dummyimage.com/129x100.png/dddddd/000000,2/27/2025
14,20,Puree - Guava,"Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.

Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.

Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.",6.25,91,Fire Sprinkler System,http://dummyimage.com/109x100.png/ff4444/ffffff,5/12/2024
15,37,"Clams - Littleneck, Whole","In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.

Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui.",55.71,24,Granite Surfaces,http://dummyimage.com/184x100.png/dddddd/000000,4/2/2025
16,10,Mace,In congue. Etiam justo. Etiam pretium iaculis justo.,14.28,77,Framing (Wood),http://dummyimage.com/161x100.png/5fa2dd/ffffff,2/15/2025
17,27,Sea Bass - Whole,In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus.,9.93,61,EIFS,http://dummyimage.com/125x100.png/dddddd/000000,3/1/2025
18,48,Turnip - Wax,"In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus.

Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi.",84.96,19,Ornamental Railings,http://dummyimage.com/245x100.png/ff4444/ffffff,1/19/2025
19,45,Oil - Olive,"Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus.

Phasellus in felis. Donec semper sapien a libero. Nam dui.

Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius.",48.21,79,Sitework & Site Utilities,http://dummyimage.com/117x100.png/cc0000/ffffff,9/22/2024
20,25,"Tea - Darjeeling, Azzura",Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris.,9.78,18,Elevator,http://dummyimage.com/147x100.png/cc0000/ffffff,11/1/2024
21,34,Cookie Trail Mix,"Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.

Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio.",3.45,4,Masonry & Precast,http://dummyimage.com/124x100.png/cc0000/ffffff,2/16/2025
22,35,Beef - Top Butt,"Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.",78.18,14,EIFS,http://dummyimage.com/129x100.png/dddddd/000000,3/29/2025
23,20,Cheese - Brick With Onion,"Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem.

Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus.

Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus.",60.61,96,HVAC,http://dummyimage.com/198x100.png/cc0000/ffffff,6/5/2024
24,23,Cookie Dough - Chocolate Chip,"Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus.",90.91,28,Ornamental Railings,http://dummyimage.com/212x100.png/5fa2dd/ffffff,12/6/2024
25,13,Spaghetti Squash,"Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti.",52.11,23,Electrical,http://dummyimage.com/174x100.png/ff4444/ffffff,10/10/2024
26,30,Table Cloth 54x54 Colour,Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.,98.78,89,Rebar & Wire Mesh Install,http://dummyimage.com/203x100.png/dddddd/000000,8/16/2024
27,29,"Nut - Walnut, Chopped","Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti.

Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris.",9.81,37,Roofing (Metal),http://dummyimage.com/161x100.png/dddddd/000000,5/29/2024
28,17,Fork - Plastic,"Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.

Sed ante. Vivamus tortor. Duis mattis egestas metus.",33.85,98,Casework,http://dummyimage.com/227x100.png/5fa2dd/ffffff,12/14/2024
29,46,Beer - Maudite,"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque.",37.6,73,Plumbing & Medical Gas,http://dummyimage.com/125x100.png/5fa2dd/ffffff,2/16/2025
30,24,Plasticknivesblack,"Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus.

Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus.",9.58,30,Framing (Wood),http://dummyimage.com/193x100.png/cc0000/ffffff,12/4/2024
31,30,Carbonated Water - Raspberry,"Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem.

Fusce consequat. Nulla nisl. Nunc nisl.",55.98,26,Rebar & Wire Mesh Install,http://dummyimage.com/152x100.png/ff4444/ffffff,8/29/2024
32,35,"Wine - Red, Marechal Foch","Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.

Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero.

Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh.",84.8,11,Soft Flooring and Base,http://dummyimage.com/146x100.png/ff4444/ffffff,12/26/2024
33,2,Puree - Passion Fruit,"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero.

Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh.

In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.",94.64,58,Sitework & Site Utilities,http://dummyimage.com/233x100.png/ff4444/ffffff,10/19/2024
34,6,Cinnamon Buns Sticky,"Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.

Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem.

Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus.",42.01,26,Fire Protection,http://dummyimage.com/238x100.png/ff4444/ffffff,5/8/2024
35,38,Curry Powder Madras,"Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.",96.76,49,Waterproofing & Caulking,http://dummyimage.com/117x100.png/5fa2dd/ffffff,11/6/2024
36,21,Uniform Linen Charge,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum.",55.79,54,Curb & Gutter,http://dummyimage.com/177x100.png/dddddd/000000,4/5/2025
37,16,Artichoke - Fresh,"Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus.

In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.

Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst.",5.2,51,Painting & Vinyl Wall Covering,http://dummyimage.com/248x100.png/cc0000/ffffff,6/6/2024
38,32,Sausage - Meat,"Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat.

In congue. Etiam justo. Etiam pretium iaculis justo.

In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus.",52.92,15,Sitework & Site Utilities,http://dummyimage.com/229x100.png/dddddd/000000,2/10/2025
39,10,Vinegar - Tarragon,"Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.

Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est.",99.2,78,Masonry,http://dummyimage.com/179x100.png/5fa2dd/ffffff,8/7/2024
40,13,Flower - Leather Leaf Fern,"Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.

Sed ante. Vivamus tortor. Duis mattis egestas metus.",20.7,14,Termite Control,http://dummyimage.com/195x100.png/dddddd/000000,6/19/2024
41,18,Lotus Leaves,"Phasellus in felis. Donec semper sapien a libero. Nam dui.

Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius.

Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi.",87.29,20,Hard Tile & Stone,http://dummyimage.com/236x100.png/cc0000/ffffff,2/9/2025
42,23,Olives - Nicoise,"Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.

Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit.

Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque.",25.73,46,Prefabricated Aluminum Metal Canopies,http://dummyimage.com/131x100.png/5fa2dd/ffffff,1/9/2025
43,9,Godiva White Chocolate,Fusce consequat. Nulla nisl. Nunc nisl.,85.88,48,Sitework & Site Utilities,http://dummyimage.com/107x100.png/cc0000/ffffff,1/11/2025
44,39,Snapple - Iced Tea Peach,Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit.,43.61,48,Site Furnishings,http://dummyimage.com/109x100.png/dddddd/000000,2/8/2025
45,14,Clam Nectar,"Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti.

Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris.",62.6,25,Fire Protection,http://dummyimage.com/238x100.png/5fa2dd/ffffff,1/19/2025
46,47,Beer - Blue,Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.,99.5,30,Drilled Shafts,http://dummyimage.com/141x100.png/ff4444/ffffff,12/22/2024
47,44,Wine - Chateau Bonnet,"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero.

Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh.",75.39,18,Retaining Wall and Brick Pavers,http://dummyimage.com/218x100.png/cc0000/ffffff,1/14/2025
48,5,Macaroons - Two Bite Choc,"Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio.

Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",83.73,87,Termite Control,http://dummyimage.com/201x100.png/dddddd/000000,8/21/2024
49,27,Beer - True North Strong Ale,Sed ante. Vivamus tortor. Duis mattis egestas metus.,64.51,10,Roofing (Asphalt),http://dummyimage.com/218x100.png/5fa2dd/ffffff,11/1/2024
50,46,Chicken - White Meat With Tender,"Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.

Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.",99.7,42,Masonry,http://dummyimage.com/114x100.png/5fa2dd/ffffff,10/4/2024
51,39,Soup Bowl Clear 8oz92008,Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.,47.03,15,Plumbing & Medical Gas,http://dummyimage.com/111x100.png/dddddd/000000,10/27/2024
52,11,"Bread - Roll, Calabrese",Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst.,61.23,96,Glass & Glazing,http://dummyimage.com/175x100.png/cc0000/ffffff,2/7/2025
53,50,"Capon - Breast, Wing On",Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi.,76.22,6,Hard Tile & Stone,http://dummyimage.com/105x100.png/ff4444/ffffff,12/8/2024
54,9,"Lamb - Leg, Bone In","Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.

Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit.",42.6,40,Fire Sprinkler System,http://dummyimage.com/222x100.png/5fa2dd/ffffff,10/5/2024
55,27,Soup Campbells Turkey Veg.,"In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus.

Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi.",26.9,85,Marlite Panels (FED),http://dummyimage.com/205x100.png/5fa2dd/ffffff,12/7/2024
56,9,Onions - Red Pearl,"Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.

Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.

Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.",53.12,47,Granite Surfaces,http://dummyimage.com/113x100.png/ff4444/ffffff,7/17/2024
57,1,Mustard Prepared,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.

Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.

Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio.",74.02,5,Sitework & Site Utilities,http://dummyimage.com/163x100.png/cc0000/ffffff,11/18/2024
58,18,Chutney Sauce,"Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.

Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.

Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est.",1.94,70,Granite Surfaces,http://dummyimage.com/183x100.png/dddddd/000000,5/25/2024
59,23,Veal - Striploin,"Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.

Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem.",95.42,91,Electrical and Fire Alarm,http://dummyimage.com/230x100.png/ff4444/ffffff,2/21/2025
60,15,Clams - Bay,Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus.,74.81,44,Masonry & Precast,http://dummyimage.com/125x100.png/ff4444/ffffff,11/15/2024
61,46,"Pasta - Orzo, Dry","Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus.

Phasellus in felis. Donec semper sapien a libero. Nam dui.

Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius.",16.06,10,Drywall & Acoustical (FED),http://dummyimage.com/142x100.png/cc0000/ffffff,5/10/2024
62,15,Wine - Barolo Fontanafredda,Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit.,24.8,70,Site Furnishings,http://dummyimage.com/106x100.png/cc0000/ffffff,3/21/2025
63,1,Grand Marnier,"Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti.",52.13,80,Drilled Shafts,http://dummyimage.com/174x100.png/ff4444/ffffff,8/9/2024
64,3,Island Oasis - Pina Colada,"Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem.

Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus.

Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus.",3.0,55,Fire Protection,http://dummyimage.com/171x100.png/5fa2dd/ffffff,9/22/2024
65,23,Longos - Chicken Wings,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",36.45,89,Framing (Wood),http://dummyimage.com/115x100.png/5fa2dd/ffffff,2/28/2025
66,4,Sour Cream,Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris.,78.92,57,Epoxy Flooring,http://dummyimage.com/137x100.png/5fa2dd/ffffff,9/6/2024
67,5,Beef - Prime Rib Aaa,"Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.

Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem.

Fusce consequat. Nulla nisl. Nunc nisl.",27.6,68,Framing (Steel),http://dummyimage.com/114x100.png/ff4444/ffffff,2/9/2025
68,26,Wine - Fino Tio Pepe Gonzalez,Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh.,72.77,31,"Temp Fencing, Decorative Fencing and Gates",http://dummyimage.com/195x100.png/dddddd/000000,3/16/2025
69,19,Shark - Loin,"Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat.

In congue. Etiam justo. Etiam pretium iaculis justo.",7.7,92,Masonry & Precast,http://dummyimage.com/103x100.png/ff4444/ffffff,2/5/2025
70,20,Rambutan,"Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.",79.8,24,Plumbing & Medical Gas,http://dummyimage.com/228x100.png/cc0000/ffffff,7/3/2024
71,22,"Cod - Salted, Boneless","Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui.

Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti.",16.51,20,Landscaping & Irrigation,http://dummyimage.com/150x100.png/ff4444/ffffff,4/8/2025
72,49,Carbonated Water - Raspberry,"Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.

Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.

Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit.",7.51,5,Drywall & Acoustical (MOB),http://dummyimage.com/205x100.png/ff4444/ffffff,4/27/2024
73,18,Cheese - Brie Roitelet,In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.,85.43,6,Granite Surfaces,http://dummyimage.com/107x100.png/dddddd/000000,12/11/2024
74,32,Halibut - Steaks,Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi.,59.57,27,Fire Protection,http://dummyimage.com/249x100.png/5fa2dd/ffffff,10/18/2024
75,20,Bread Roll Foccacia,"Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus.

In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.

Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst.",18.26,38,Casework,http://dummyimage.com/152x100.png/ff4444/ffffff,10/11/2024
76,27,Wild Boar - Tenderloin,"Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus.

Phasellus in felis. Donec semper sapien a libero. Nam dui.

Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius.",85.38,3,Epoxy Flooring,http://dummyimage.com/200x100.png/cc0000/ffffff,7/25/2024
77,43,"Veal - Insides, Grains","In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.

Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst.",8.73,77,Hard Tile & Stone,http://dummyimage.com/142x100.png/cc0000/ffffff,5/9/2024
78,44,"Quail - Eggs, Fresh","Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis.",97.88,64,"Temp Fencing, Decorative Fencing and Gates",http://dummyimage.com/102x100.png/5fa2dd/ffffff,3/14/2025
79,22,Mushroom - White Button,"Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.

Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est.",79.64,24,Drywall & Acoustical (MOB),http://dummyimage.com/145x100.png/5fa2dd/ffffff,9/20/2024
80,34,Rosemary - Dry,Fusce consequat. Nulla nisl. Nunc nisl.,52.85,74,HVAC,http://dummyimage.com/192x100.png/dddddd/000000,9/5/2024
81,26,Flour Pastry Super Fine,"Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.",21.23,50,Drilled Shafts,http://dummyimage.com/227x100.png/cc0000/ffffff,10/31/2024
82,7,Wine - Tribal Sauvignon,"In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo.

Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.

Sed ante. Vivamus tortor. Duis mattis egestas metus.",94.85,4,Structural & Misc Steel Erection,http://dummyimage.com/135x100.png/dddddd/000000,2/14/2025
